x,y,Temperature
0.000000000000000000e+00,0.000000000000000000e+00,9.441862105689000373e+01
4.000000000000000083e-02,0.000000000000000000e+00,9.448144309047486900e+01
8.000000000000000167e-02,0.000000000000000000e+00,9.479009742996031207e+01
1.199999999999999956e-01,0.000000000000000000e+00,9.529993281598358124e+01
1.600000000000000033e-01,0.000000000000000000e+00,9.589043627288059213e+01
2.000000000000000111e-01,0.000000000000000000e+00,9.642221090779368353e+01
2.399999999999999911e-01,0.000000000000000000e+00,9.676651883728955283e+01
2.800000000000000266e-01,0.000000000000000000e+00,9.684112433262114905e+01
3.200000000000000067e-01,0.000000000000000000e+00,9.659101614099948563e+01
3.599999999999999867e-01,0.000000000000000000e+00,9.595772193878885048e+01
4.000000000000000222e-01,0.000000000000000000e+00,9.485628076238064921e+01
4.400000000000000022e-01,0.000000000000000000e+00,9.315963407202792723e+01
4.799999999999999822e-01,0.000000000000000000e+00,9.068852393581107663e+01
5.200000000000000178e-01,0.000000000000000000e+00,8.721050081807507581e+01
5.600000000000000533e-01,0.000000000000000000e+00,8.246135370280907750e+01
5.999999999999999778e-01,0.000000000000000000e+00,7.621415817505844359e+01
6.400000000000000133e-01,0.000000000000000000e+00,6.841626838857591508e+01
6.800000000000000488e-01,0.000000000000000000e+00,5.932047741298147514e+01
7.199999999999999734e-01,0.000000000000000000e+00,4.928377757885667165e+01
7.600000000000000089e-01,0.000000000000000000e+00,3.858586107710412705e+01
8.000000000000000444e-01,0.000000000000000000e+00,2.552260547896884546e+01
0.000000000000000000e+00,4.000000000000000083e-02,9.435579902330512425e+01
4.000000000000000083e-02,4.000000000000000083e-02,9.445139603079213941e+01
8.000000000000000167e-02,4.000000000000000083e-02,9.479086218214681026e+01
1.199999999999999956e-01,4.000000000000000083e-02,9.531534107642552556e+01
1.600000000000000033e-01,4.000000000000000083e-02,9.591318068241886863e+01
2.000000000000000111e-01,4.000000000000000083e-02,9.644768081166942864e+01
2.399999999999999911e-01,4.000000000000000083e-02,9.679025482842460804e+01
2.800000000000000266e-01,4.000000000000000083e-02,9.686213629858775676e+01
3.200000000000000067e-01,4.000000000000000083e-02,9.661045159942761984e+01
3.599999999999999867e-01,4.000000000000000083e-02,9.597740402748570432e+01
4.000000000000000222e-01,4.000000000000000083e-02,9.487806550499340119e+01
4.400000000000000022e-01,4.000000000000000083e-02,9.318517065731053606e+01
4.799999999999999822e-01,4.000000000000000083e-02,9.071898677578184333e+01
5.200000000000000178e-01,4.000000000000000083e-02,8.724596089479332761e+01
5.600000000000000533e-01,4.000000000000000083e-02,8.249956236071841431e+01
5.999999999999999778e-01,4.000000000000000083e-02,7.624915358717885283e+01
6.400000000000000133e-01,4.000000000000000083e-02,6.843964519814848302e+01
6.800000000000000488e-01,4.000000000000000083e-02,5.933130099074264763e+01
7.199999999999999734e-01,4.000000000000000083e-02,4.928608523577299394e+01
7.600000000000000089e-01,4.000000000000000083e-02,3.863053791059239472e+01
8.000000000000000444e-01,4.000000000000000083e-02,2.765337253754071511e+01
0.000000000000000000e+00,8.000000000000000167e-02,9.410178297474627129e+01
4.000000000000000083e-02,8.000000000000000167e-02,9.422527833098526173e+01
8.000000000000000167e-02,8.000000000000000167e-02,9.464433265267098250e+01
1.199999999999999956e-01,8.000000000000000167e-02,9.528361256986673311e+01
1.600000000000000033e-01,8.000000000000000167e-02,9.601634570029973759e+01
2.000000000000000111e-01,8.000000000000000167e-02,9.667497497858218480e+01
2.399999999999999911e-01,8.000000000000000167e-02,9.708913237935632878e+01
2.800000000000000266e-01,8.000000000000000167e-02,9.720740560185986112e+01
3.200000000000000067e-01,8.000000000000000167e-02,9.700938559953257823e+01
3.599999999999999867e-01,8.000000000000000167e-02,9.645965325748622377e+01
4.000000000000000222e-01,8.000000000000000167e-02,9.548814657986608267e+01
4.400000000000000022e-01,8.000000000000000167e-02,9.397727843974180928e+01
4.799999999999999822e-01,8.000000000000000167e-02,9.174804350858522639e+01
5.200000000000000178e-01,8.000000000000000167e-02,8.854487069350949469e+01
5.600000000000000533e-01,8.000000000000000167e-02,8.403006175553917956e+01
5.999999999999999778e-01,8.000000000000000167e-02,7.782977790622639702e+01
6.400000000000000133e-01,8.000000000000000167e-02,6.974703902459930305e+01
6.800000000000000488e-01,8.000000000000000167e-02,6.026366220326058709e+01
7.199999999999999734e-01,8.000000000000000167e-02,4.988361887529882921e+01
7.600000000000000089e-01,8.000000000000000167e-02,3.898243340367449861e+01
8.000000000000000444e-01,8.000000000000000167e-02,2.784871659105762376e+01
0.000000000000000000e+00,1.199999999999999956e-01,9.360077621370943746e+01
4.000000000000000083e-02,1.199999999999999956e-01,9.376534934385119868e+01
8.000000000000000167e-02,1.199999999999999956e-01,9.432413911898360936e+01
